Timestamp,Status,Angle_X,Angle_Y,Angle_Z
2026-01-07 09:29:12,Forward,-2.81,0.02,-0.06
2026-01-07 09:29:17,Looking Right,1.86,14.1,-0.21
2026-01-07 09:29:22,Forward,2.65,6.43,-0.21
2026-01-07 09:29:24,Looking Left,5.56,-14.52,0.11
2026-01-07 09:29:30,Forward,-0.68,0.56,-0.07
2026-01-07 09:29:31,Looking Up,11.76,2.9,-0.16
2026-01-07 09:29:33,Forward,8.84,1.09,-0.08
2026-01-07 09:29:35,Looking Down,-16.78,1.3,-0.19
2026-01-07 09:29:36,Forward,-7.9,-1.98,-0.02
2026-01-07 09:33:34,Forward,1.43,-1.58,-0.02
2026-01-07 09:33:37,Looking Left,-1.12,-11.0,0.14
2026-01-07 09:33:40,Forward,1.0,-8.37,0.18
2026-01-07 09:33:41,Looking Right,-1.32,12.54,-0.14
2026-01-07 09:33:43,Forward,-3.13,7.63,-0.14
2026-01-07 09:37:27,Forward,-0.64,3.69,-0.15
2026-01-07 09:37:30,Looking Right,0.19,10.78,-0.1
2026-01-07 09:37:44,Forward,1.69,9.9,-0.15
2026-01-07 09:37:46,Looking Left,4.62,-12.31,0.17
2026-01-07 09:37:53,Forward,6.97,-9.54,0.21
2026-01-07 09:37:56,Looking Down,-10.56,2.92,-0.02
2026-01-07 09:37:56,Forward,-8.83,3.6,-0.03
2026-01-07 09:37:56,Looking Down,-10.23,3.75,-0.04
2026-01-07 09:37:56,Forward,-8.59,4.15,-0.06
2026-01-07 09:37:57,Looking Down,-10.11,3.8,-0.05
2026-01-07 09:37:57,Forward,-9.94,3.35,-0.05
2026-01-07 09:37:58,Looking Down,-10.37,3.51,-0.04
2026-01-07 09:37:59,Forward,-9.85,2.66,-0.04
2026-01-07 09:37:59,Looking Down,-10.99,2.28,-0.03
2026-01-07 09:38:00,Forward,-7.36,4.97,-0.08
2026-01-07 09:38:01,Looking Up,11.21,7.78,-0.11
2026-01-07 09:38:02,Looking Left,13.34,-10.52,0.19
2026-01-07 09:38:03,Forward,7.9,-8.24,0.2
2026-01-07 09:38:03,Looking Right,7.03,11.42,-0.17
2026-01-07 09:38:04,Forward,-8.59,8.73,-0.02
2026-01-07 09:38:04,Looking Down,-10.47,7.2,0.07
2026-01-07 09:38:06,Forward,-7.52,-4.64,0.12
2026-01-07 09:38:14,Looking Down,-10.18,-2.95,0.07
2026-01-07 09:38:16,Forward,-9.7,-3.19,0.06
2026-01-07 14:57:25,Looking Right,3.63,17.7,0.11,1
2026-01-07 15:59:10,Looking Left,14.86,-18.49,-0.28,1
2026-01-07 15:59:53,Looking Right,4.85,24.83,0.18,2
2026-01-07 16:00:00,Looking Right,8.18,21.91,-0.19,3
2026-01-07 16:24:52,Looking Right,2.53,14.77,0.02,1
2026-01-07 16:25:04,Looking Down,-14.88,-3.81,0.18,2
